client_id,inv_value_pre_90d,inv_value_pre_ever_avg,company_initial_age,cust_count_pre_90d,cust_count_pre_ever_avg,qbo_history_age,qbo_naics_1d,accounting_payroll_feature_opt,accounting_accountant_feature_opt,in_target_industry,has_target_revenue,in_sweet_spot,qbo_country,visit_to_signup,visit_to_connection,signup_to_completion,signup_to_activation,default_tgt,loss_tgt,loss_on_default_tgt,high_ltv_tgt
e0776250-7b2d-4a61-a28c-9e6fb08bd19c,,,0,,,,,FALSE,FALSE,,,FALSE,US,,,,,,,,
44c3d957-c4ac-4b94-9503-50295e9e23bc,129310.03,25223.03014,5.9,10,4,2164.6,2_,TRUE,FALSE,TRUE,TRUE,TRUE,US,,,,,,,,
555bf8b9-2aa5-40d7-bfa2-c50196dbb787,59990.36,19887.02143,0.5,235,87,217.9,4_,TRUE,FALSE,FALSE,FALSE,FALSE,CA,,,0.1,,,,,
1efbb09c-290e-4ba8-b5c4-7d6cfd4e3531,32094.92,5412.171304,3.7,40,9,1352.2,,TRUE,TRUE,,FALSE,FALSE,US,,,0,,,,,
534c84d253d904871d556fd0c7dd0bad3b9d1796,,,0,,,,,FALSE,FALSE,,,FALSE,CA,0,0,,,,,,
5b07805e-eada-49cc-be39-87e317d8aac0,534512.39,107166.478,0.5,10,4,101,2_,FALSE,FALSE,TRUE,TRUE,FALSE,CA,,,1.8,,,,,
a3f7733a-b045-4d91-b5b0-014775cebadd,953.75,775.2168966,3,1,1,1084.1,,TRUE,TRUE,,FALSE,FALSE,US,,,,,,,,
1d5dafef-6df2-4734-b4f6-349956a7e3b0,154520.11,31637.85217,9.9,26,8,3623.3,,FALSE,FALSE,,TRUE,FALSE,US,,,,,,,,
87c96fd4-eb39-49f4-8357-e31be425ff21,111525.82,62481.88795,4.3,10,12,1574.1,4_,FALSE,FALSE,FALSE,TRUE,FALSE,CA,,,0,3.1,0,,0,
9d5e2dcf-2100-4cab-8fb9-3daa21258fb6,,,0,,,,,TRUE,FALSE,,,,US,,,,,,,,
d6fee605-32dc-4b3c-b755-9c4e1be4ce77,,,0,,,,,FALSE,FALSE,,,FALSE,CA,,,,,,,,
362d28a0-2302-460f-87b7-d6ff8477d6dc,,,0.2,,,,4_,TRUE,FALSE,FALSE,,FALSE,US,,,,,,,,
53c8c7a5-6402-472c-94b4-40bf9ff51ecd,,,0,,,,,FALSE,FALSE,,,FALSE,US,,,,,,,,
c73575ec-7976-4250-82b0-aeeb6b4cc7d3,232625.09,65948.46389,1.5,9,7,510.5,4_,TRUE,FALSE,FALSE,TRUE,FALSE,US,,,0.1,,,,,
91eeb1f6-c03f-411f-8dcb-3ba78e609bb0,298000,298000,0,2,2,,,FALSE,FALSE,,TRUE,FALSE,CA,,,,,,,,
c4ab5149-8609-4613-9890-24ae600df383,23040,23040,0,4,4,,,TRUE,FALSE,,FALSE,FALSE,CA,,,0.8,,,,,
216e483a-3d0e-48f2-ba43-576e9b982f90,78,78,0,1,1,,4_,TRUE,FALSE,FALSE,FALSE,FALSE,US,,,,,,,,
4aefb8de-dfd4-49ef-a3e1-45ce3b309c1a,55168.65,44853.63805,14.8,24,10,5627.8,,FALSE,FALSE,,TRUE,FALSE,US,,,,,,,,
